# atom_fire_audit — 79 atoms × 4749 envelopes (4749 successful Synthesize runs)

atom_id                                             count  fires-on (sample / full)
develop-close-push-dev-local                           96  [develop/local/dev/push-dev/actions/dynamic/dep=true/st=ACTIVE develop/local/dev/push-dev/actions/dynamic/dep=true/st=DEPLOYING develop/local/dev/push-dev/actions/dynamic/dep=true/st=READY_TO_DEPLOY develop/local/dev/push-dev/actions/dynamic/dep=true/st=_ develop/local/dev/push-dev/actions/implicit-webserver/dep=true/st=ACTIVE ... +91 more]
develop-close-push-dev-simple                          96  [develop/container/simple/push-dev/actions/dynamic/dep=true/st=ACTIVE develop/container/simple/push-dev/actions/dynamic/dep=true/st=DEPLOYING develop/container/simple/push-dev/actions/dynamic/dep=true/st=READY_TO_DEPLOY develop/container/simple/push-dev/actions/dynamic/dep=true/st=_ develop/container/simple/push-dev/actions/implicit-webserver/dep=true/st=ACTIVE ... +91 more]
develop-dev-server-reason-codes                        96  [develop/container/dev/manual/actions/dynamic/dep=true/st=ACTIVE develop/container/dev/manual/actions/dynamic/dep=true/st=DEPLOYING develop/container/dev/manual/actions/dynamic/dep=true/st=READY_TO_DEPLOY develop/container/dev/manual/actions/dynamic/dep=true/st=_ develop/container/dev/manual/unset/dynamic/dep=true/st=ACTIVE ... +91 more]
develop-dev-server-triage                              96  [develop/container/dev/manual/actions/dynamic/dep=true/st=ACTIVE develop/container/dev/manual/actions/dynamic/dep=true/st=DEPLOYING develop/container/dev/manual/actions/dynamic/dep=true/st=READY_TO_DEPLOY develop/container/dev/manual/actions/dynamic/dep=true/st=_ develop/container/dev/manual/unset/dynamic/dep=true/st=ACTIVE ... +91 more]
bootstrap-intro                                       120  [bootstrap/container/adopt/close/no-svc bootstrap/container/adopt/close/svc-dynamic bootstrap/container/adopt/close/svc-implicit-webserver bootstrap/container/adopt/close/svc-managed bootstrap/container/adopt/close/svc-static ... +115 more]
develop-first-deploy-asset-pipeline-container         144  [develop/container/dev/manual/actions/implicit-webserver/dep=false/st=ACTIVE develop/container/dev/manual/actions/implicit-webserver/dep=false/st=DEPLOYING develop/container/dev/manual/actions/implicit-webserver/dep=false/st=READY_TO_DEPLOY develop/container/dev/manual/actions/implicit-webserver/dep=false/st=_ develop/container/dev/manual/unset/implicit-webserver/dep=false/st=ACTIVE ... +139 more]
develop-first-deploy-asset-pipeline-local             144  [develop/local/dev/manual/actions/implicit-webserver/dep=false/st=ACTIVE develop/local/dev/manual/actions/implicit-webserver/dep=false/st=DEPLOYING develop/local/dev/manual/actions/implicit-webserver/dep=false/st=READY_TO_DEPLOY develop/local/dev/manual/actions/implicit-webserver/dep=false/st=_ develop/local/dev/manual/unset/implicit-webserver/dep=false/st=ACTIVE ... +139 more]
develop-dynamic-runtime-start-container               193  [develop/container/dev/manual/actions/dynamic/dep=false/st=ACTIVE develop/container/dev/manual/actions/dynamic/dep=false/st=DEPLOYING develop/container/dev/manual/actions/dynamic/dep=false/st=READY_TO_DEPLOY develop/container/dev/manual/actions/dynamic/dep=false/st=_ develop/container/dev/manual/actions/dynamic/dep=true/st=ACTIVE ... +188 more]
develop-dynamic-runtime-start-local                   193  [develop/local/dev/manual/actions/dynamic/dep=false/st=ACTIVE develop/local/dev/manual/actions/dynamic/dep=false/st=DEPLOYING develop/local/dev/manual/actions/dynamic/dep=false/st=READY_TO_DEPLOY develop/local/dev/manual/actions/dynamic/dep=false/st=_ develop/local/dev/manual/actions/dynamic/dep=true/st=ACTIVE ... +188 more]
develop-first-deploy-promote-stage                    193  [develop/container/multi/mixed-deploy develop/container/standard/manual/actions/dynamic/dep=false/st=ACTIVE develop/container/standard/manual/actions/dynamic/dep=false/st=DEPLOYING develop/container/standard/manual/actions/dynamic/dep=false/st=READY_TO_DEPLOY develop/container/standard/manual/actions/dynamic/dep=false/st=_ ... +188 more]
develop-close-push-git-container                      288  [develop/container/dev/push-git/actions/dynamic/dep=true/st=ACTIVE develop/container/dev/push-git/actions/dynamic/dep=true/st=DEPLOYING develop/container/dev/push-git/actions/dynamic/dep=true/st=READY_TO_DEPLOY develop/container/dev/push-git/actions/dynamic/dep=true/st=_ develop/container/dev/push-git/actions/implicit-webserver/dep=true/st=ACTIVE ... +283 more]
develop-close-push-git-local                          288  [develop/local/dev/push-git/actions/dynamic/dep=true/st=ACTIVE develop/local/dev/push-git/actions/dynamic/dep=true/st=DEPLOYING develop/local/dev/push-git/actions/dynamic/dep=true/st=READY_TO_DEPLOY develop/local/dev/push-git/actions/dynamic/dep=true/st=_ develop/local/dev/push-git/actions/implicit-webserver/dep=true/st=ACTIVE ... +283 more]
develop-ready-to-deploy                               288  [develop/container/dev/manual/actions/dynamic/dep=false/st=READY_TO_DEPLOY develop/container/dev/manual/actions/dynamic/dep=true/st=READY_TO_DEPLOY develop/container/dev/manual/actions/implicit-webserver/dep=false/st=READY_TO_DEPLOY develop/container/dev/manual/actions/implicit-webserver/dep=true/st=READY_TO_DEPLOY develop/container/dev/manual/actions/managed/dep=false/st=READY_TO_DEPLOY ... +283 more]
develop-push-dev-deploy-container                     289  [develop/container/dev/push-dev/actions/dynamic/dep=true/st=ACTIVE develop/container/dev/push-dev/actions/dynamic/dep=true/st=DEPLOYING develop/container/dev/push-dev/actions/dynamic/dep=true/st=READY_TO_DEPLOY develop/container/dev/push-dev/actions/dynamic/dep=true/st=_ develop/container/dev/push-dev/actions/implicit-webserver/dep=true/st=ACTIVE ... +284 more]
develop-push-dev-deploy-local                         289  [develop/local/dev/push-dev/actions/dynamic/dep=true/st=ACTIVE develop/local/dev/push-dev/actions/dynamic/dep=true/st=DEPLOYING develop/local/dev/push-dev/actions/dynamic/dep=true/st=READY_TO_DEPLOY develop/local/dev/push-dev/actions/dynamic/dep=true/st=_ develop/local/dev/push-dev/actions/implicit-webserver/dep=true/st=ACTIVE ... +284 more]
develop-checklist-dev-mode                            384  [develop/container/dev/manual/actions/dynamic/dep=false/st=ACTIVE develop/container/dev/manual/actions/dynamic/dep=false/st=DEPLOYING develop/container/dev/manual/actions/dynamic/dep=false/st=READY_TO_DEPLOY develop/container/dev/manual/actions/dynamic/dep=false/st=_ develop/container/dev/manual/actions/dynamic/dep=true/st=ACTIVE ... +379 more]
develop-checklist-simple-mode                         384  [develop/container/simple/manual/actions/dynamic/dep=false/st=ACTIVE develop/container/simple/manual/actions/dynamic/dep=false/st=DEPLOYING develop/container/simple/manual/actions/dynamic/dep=false/st=READY_TO_DEPLOY develop/container/simple/manual/actions/dynamic/dep=false/st=_ develop/container/simple/manual/actions/dynamic/dep=true/st=ACTIVE ... +379 more]
develop-close-manual                                  576  [develop/container/dev/manual/actions/dynamic/dep=true/st=ACTIVE develop/container/dev/manual/actions/dynamic/dep=true/st=DEPLOYING develop/container/dev/manual/actions/dynamic/dep=true/st=READY_TO_DEPLOY develop/container/dev/manual/actions/dynamic/dep=true/st=_ develop/container/dev/manual/actions/implicit-webserver/dep=true/st=ACTIVE ... +571 more]
